File Name,Fields (Pipe Separated),__UNNAMED__2,__UNNAMED__3,__UNNAMED__4,__UNNAMED__5,__UNNAMED__6,__UNNAMED__7,__UNNAMED__8,__UNNAMED__9,__UNNAMED__10,__UNNAMED__11,__UNNAMED__12,__UNNAMED__13,__UNNAMED__14,__UNNAMED__15,__UNNAMED__16,__UNNAMED__17,__UNNAMED__18,__UNNAMED__19,__UNNAMED__20,__UNNAMED__21,__UNNAMED__22,__UNNAMED__23,__UNNAMED__24,__UNNAMED__25,__UNNAMED__26,__UNNAMED__27,__UNNAMED__28,__UNNAMED__29,__UNNAMED__30,__UNNAMED__31,__UNNAMED__32,__UNNAMED__33,__UNNAMED__34,__UNNAMED__35,__UNNAMED__36,__UNNAMED__37,__UNNAMED__38,__UNNAMED__39,__UNNAMED__40,__UNNAMED__41,__UNNAMED__42,__UNNAMED__43,__UNNAMED__44,__UNNAMED__45,__UNNAMED__46,__UNNAMED__47,__UNNAMED__48,__UNNAMED__49,__UNNAMED__50,__UNNAMED__51,__UNNAMED__52,__UNNAMED__53,__UNNAMED__54,__UNNAMED__55,__UNNAMED__56,__UNNAMED__57,__UNNAMED__58,__UNNAMED__59,__UNNAMED__60,__UNNAMED__61,__UNNAMED__62,__UNNAMED__63,__UNNAMED__64,__UNNAMED__65,__UNNAMED__66,__UNNAMED__67,__UNNAMED__68,__UNNAMED__69,__UNNAMED__70
,SocioNum,ChequeNumero,Fecha,EntradoPor,Mensaje,Cantidad,ChequeHasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SocioNum,ChequeNumero,Fecha,EntradoPor,Mensaje,Cantidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SocioNum,ChequeNumero,Fecha,EntradoPor,Mensaje,Cantidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SocioNum,ChequeNumero,Fecha,EntradoPor,Mensaje,Cantidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SocioNum,ChequeNumero,Fecha,EntradoPor,Mensaje,Cantidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SocioNum,ChequeNumero,Fecha,EntradoPor,Mensaje,Cantidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTIONS_MANAGEMENT,LoanAccount,MemberNum,Date,Code,Official,ManagedAccount,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cuenta,Fecha,Codigo,DescripciÃ³n,Oficial,SocioNum,FollowUp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cuenta,Fecha,Codigo,Descripción,Oficial,SocioNum,FollowUp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LoanAccount,MemberNum,Date,Code,Official,ManagedAccount,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LoanAccount,MemberNum,Date,Code,Official,ManagedAccount,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LoanAccount,MemberNum,Date,Code,Official,ManagedAccount,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
