Tipo,SubTipo,Descripcion,Tasa,TasaMax,TasaMin,ShareMinimum,MinimumAmount,MaximumAmount,Term,MinimumTerm,MaximumTerm,ucbAccountType,PenaltyPercent,LatePaymentSurchargePercentage,COSSEC_CO_TIPO_PRESTAMO,COSSEC_CO_CATEGORIA
LoanType,LoanSubType,Descripcion,Rate,MaxRate,MinRate,SharesMinimum,MinimumAmount,MaximumAmount,Term,MinimumTerm,MaximumTerm,ucbAccountType,PenaltyPercent,LatePaymentSurchargePercentage,COSSEC_CO_TIPO_PRESTAMO,COSSEC_CO_CATEGORIA
2200,16,Prestamo Auto,4.95,15,4.95, , , , , , ,0, , ,18,5
2200,43,Prestamo Auto,4.95,15,4.95, , , , , , ,0, , ,18,5
2206,17,Prestamo Auto - Usados,4.95,15,4.95, , , , , , ,0, , ,19,5
2206,44,Prestamo Auto - Usados,4.95,15,4.95, , , , , , ,0, , ,19,5
2300,18,Prestamo Personal - Especial A Socios,3,15,2.5, , , , , , ,2, , ,0,0
2310,19,Prestamo Personal - Especial  NO-Socios,3,15,2.95, , , , , , ,2, , ,2,4
2400,20,Prestamo Personal - Poliza Auto,4.25,15,4.25, , , , , , ,0, , ,1,4
2403,21,Prestamo Personal - Poliza Seg. Multiples,4.25,15,4.25, , , , , , ,1, , ,1,4
2406,22,Prestamo Personal - Otras Polizas (home owners),4.25,15,4.25, , , , , , ,1, , ,1,4
2500,23,Prestamo Personal - (Codeudor),5.5,15,5.5, , , , , , ,1, , ,0,0
2600,24,Prestamo Personal - Emergencias,5.5,15,5.5, , , , , , ,1, , ,0,0
2700,25,Prestamo Personal - Malpractice,5.5,15,5.5, , , , , , ,1, , ,1,3
2800,1,Prestamo Personal- Enseres Electrodomesticos,4.25,15,4.25, , , , , , ,1, , ,0,0
2900,26,Prestamo Personal No Socio,8.95,15,8.95, , , , , , ,1, , ,0,0
2902,47,Prestamo Personal - Sist. Energia Renovable,4.25,15,4.25, , , , , , ,1, , ,0,0
3100,27,Prestamo - IRA,5.25,15,5.25, , , , , , ,1, , ,1,3
3200,28,Prestamo Personal - Col Acciones,3,15,3, , , , , , ,2, , ,1,4
3200,29,Prestamo Personal - Col Certificado,3,15,3, , , , , , ,2, , ,1,4
3500,29,Prestamo Hipotecario Residencial,4,15,4, , , , , , ,26, , ,13,6
3500,30,Prestamo Hipotecario Residencial T3001,4,15,4, , , , , , ,26, , ,13,6
3500,32,Prestamo Hipotecario-Seg. Hipoteca Residencial T32,4,15,4, , , , , , ,26, , ,15,6
3503,33,Prestamo Hipotecario - Residencial 85% O MAS,4,15,4, , , , , , ,26, , ,13,6
3504,31,Prestamo Hipotecario - Para uso Personal - T31,4,15,4, , , , , , ,26, , ,5,6
3504,34,Prestamo Hipotecario - Para uso Personal,4,15,4, , , , , , ,26, , ,5,6
3505,32,Prestamo Hipotecario-Seg. Hipoteca Residencial T32,4,15,4, , , , , , ,26, , ,15,6
3505,35,Prestamo Hipotecario - (Seg. Hipoteca Residencial),4,15,4, , , , , , ,26, , ,15,6
3506,36,Prestamo Hipotecario - Comercial Seg. Hipoteca,4,15,4, , , , , , ,26, , ,23,1
3507,33,Prestamo Hipotecario - Comercial T33,4,15,4, , , , , , ,10, , ,15,6
3507,41,Prestamo Hipotecario - Comercial,4,15,4, , , , , , ,10, , ,15,6
3508,42,Prestamo Hipotecario - Comercial T42,0,0,0, , , , , , ,10, , ,23,1
3509,34,Prestamo Hipotecario -Compra Venta Residencial T34,4,15,4, , , , , , ,26, , ,13,6
3509,39,Prestamo Hipotecario - Compra Venta Residencial,4,15,4, , , , , , ,26, , ,13,6
3510,40,Prestamo Hipotecario - Solares,4,15,4, , , , , , ,26, , ,15,6
3511,49,Prestamo Hipotecario - Comercial Participacion,4,15,4, , , , , , ,10, , ,23,1
4100,36,Prestamo Personal - POLIZA AUTOS (ARRENDAMIENTO),5,15,5, , , , , , ,0, , ,1,4
4500,37,Prestamo Personal - Arrendamiento Equipo,5,15,5, , , , , , ,1, , ,20,1
5200,38,Prestamo Tarjetas MasterCard,13.9,20,13.9, , , , , , ,18, , ,0,0
6200,1,Prestamo Personal - Re-Estructurado,5.5,15,5.5, , , , , , ,1, , ,0,0
6200,2,Prestamo Personal - Re-Estructurado Comercial,5.5,15,5.5, , , , , , ,1, , ,23,1
9999,99,Prestamo Incobrable,0,0,0, , , , , , ,1, , ,1,3
