Credito_Cuenta,Debito_Cuenta,FechaDeEntrada,Modulo,Cantidad,CodigoDeTransacción,NumeroDeTransacción,CR_Socio,DR_Socio,DR_Account,CR_Account
20001.01.00001564.0000,50003.01,1/31/2026,FIN DE MES,1.48,Pago De Interes 1/31/2026,Pago De Interes,1564,0,50003,20001
20001.01.00001576.0000,50003.01,1/31/2026,FIN DE MES,1.31,Pago De Interes 1/31/2026,Pago De Interes,1576,0,50003,20001
20001.01.00001579.0000,50003.01,1/31/2026,FIN DE MES,19.52,Pago De Interes 1/31/2026,Pago De Interes,1579,0,50003,20001
20001.01.00001595.0000,50003.01,1/31/2026,FIN DE MES,0.57,Pago De Interes 1/31/2026,Pago De Interes,1595,0,50003,20001
20001.01.00001599.0000,50003.01,1/31/2026,FIN DE MES,4.56,Pago De Interes 1/31/2026,Pago De Interes,1599,0,50003,20001
20001.01.00001606.0000,50003.01,1/31/2026,FIN DE MES,14.65,Pago De Interes 1/31/2026,Pago De Interes,1606,0,50003,20001
20001.01.00001607.0000,50003.01,1/31/2026,FIN DE MES,5.4,Pago De Interes 1/31/2026,Pago De Interes,1607,0,50003,20001
20001.01.00001613.0000,50003.01,1/31/2026,FIN DE MES,27.35,Pago De Interes 1/31/2026,Pago De Interes,1613,0,50003,20001
20001.01.00001615.0000,50003.01,1/31/2026,FIN DE MES,0.21,Pago De Interes 1/31/2026,Pago De Interes,1615,0,50003,20001
20001.01.00001616.0000,50003.01,1/31/2026,FIN DE MES,2.04,Pago De Interes 1/31/2026,Pago De Interes,1616,0,50003,20001
20001.01.00001620.0000,50003.01,1/31/2026,FIN DE MES,1.58,Pago De Interes 1/31/2026,Pago De Interes,1620,0,50003,20001
20001.01.00001632.0000,50003.01,1/31/2026,FIN DE MES,0.11,Pago De Interes 1/31/2026,Pago De Interes,1632,0,50003,20001
20001.01.00001644.0000,50003.01,1/31/2026,FIN DE MES,0.26,Pago De Interes 1/31/2026,Pago De Interes,1644,0,50003,20001
20001.01.00001648.0000,50003.01,1/31/2026,FIN DE MES,0.23,Pago De Interes 1/31/2026,Pago De Interes,1648,0,50003,20001
20001.01.00001652.0000,50003.01,1/31/2026,FIN DE MES,26.63,Pago De Interes 1/31/2026,Pago De Interes,1652,0,50003,20001
20001.01.00001668.0000,50003.01,1/31/2026,FIN DE MES,4.5,Pago De Interes 1/31/2026,Pago De Interes,1668,0,50003,20001
20001.01.00001670.0000,50003.01,1/31/2026,FIN DE MES,7.65,Pago De Interes 1/31/2026,Pago De Interes,1670,0,50003,20001
20001.01.00001676.0000,50003.01,1/31/2026,FIN DE MES,3.71,Pago De Interes 1/31/2026,Pago De Interes,1676,0,50003,20001
20001.01.00001679.0000,50003.01,1/31/2026,FIN DE MES,0.56,Pago De Interes 1/31/2026,Pago De Interes,1679,0,50003,20001
20001.01.00001688.0000,50003.01,1/31/2026,FIN DE MES,3.58,Pago De Interes 1/31/2026,Pago De Interes,1688,0,50003,20001
20001.01.00001689.0000,50003.01,1/31/2026,FIN DE MES,0.01,Pago De Interes 1/31/2026,Pago De Interes,1689,0,50003,20001
20001.01.00001698.0000,50003.01,1/31/2026,FIN DE MES,7.25,Pago De Interes 1/31/2026,Pago De Interes,1698,0,50003,20001
20001.01.00001699.0000,50003.01,1/31/2026,FIN DE MES,0.48,Pago De Interes 1/31/2026,Pago De Interes,1699,0,50003,20001
20001.01.00001701.0000,50003.01,1/31/2026,FIN DE MES,14.23,Pago De Interes 1/31/2026,Pago De Interes,1701,0,50003,20001
