ID,ProfessionType,Descripción,Description,BSARanking
 ,195,Empleado Centro Cuido de Niños,Child Care Center Employee,L
 ,196,Empleado Comedor Escolar,School Dining Room Employee,L
 ,197,Empleado Compañia de Escrines,Screens Company Owner,L
 ,198,Empleado Compañia de Asfalto,Asphalt Company Employee,L
 ,199,Empleado Compañia de Seguros,Insurance Company Employee,L
 ,200,Empleado de Almacen,Warehouse Employee,L
 ,201,Empleado de Cafeteria,Cafeteria Employee,L
 ,202,Empleado de Colmado,Grocery Store Employee,L
 ,203,Empleado de Conservación,Conservation Employee,L
 ,204,Empleado de Consorcio,Consortium Employee,L
 ,205,Empleado de Construcción,Construction Employee,M
 ,206,Empleado de Fábrica,Manufacture Employee,L
 ,207,Empleado de Farmacia,Pharmacy Employee,L
 ,208,Empleado de Ferreteria,Hardware Store Employee,L
 ,209,Empleado de Joyeria,Jewerly Store Employee,L
 ,210,Empleado de Lavanderia,Laundromat Employee,L
 ,211,Empleado de Licoreria,Liquor Store Employee,L
 ,212,Empleado de Mantenimiento,Maintenance Employee,L
 ,213,Empleado de Manufactura,Manufacture Employee,L
 ,214,Empleado de Muebleria,Furniture Store Employee,L
 ,215,Empleado de Museo,Museum Employee,L
 ,216,Empleado de Puertos,Port Employee,M
 ,217,Empleado de Restaurante,Fast Food Employee,L
 ,218,Empleado de Supermercado,Supermarket Employee,L
 ,219,Empleado de Tienda de Dulces,Candy Store Employee,L
 ,220,Empleado Depto. Trabajo,Labor Department Employee,L
 ,221,Empleado Depto. De la Familia,Employee of Family Department,L
 ,222,Empleado Doméstico,Domestic Employee,L
 ,223,Empleado Estación Gasolinera,Gas Station Employee,L
 ,224,Empleado Estación de Peaje,Toll Center Employee,L
 ,225,Empleado Municipal,Municipality Employee,L
 ,226,Empleado Obras Públicas,Public Labor Employee,L
 ,227,Empleado Postal,Postal Employee,L
 ,228,Empleado Recreación y Deportes,Recreational & Sports Employee,L
 ,229,Empleado Recursos Naturales,Natural Resources Employee,L
 ,230,Empleado Tiendas Piezas de Auto,Auto Parts Store Employee,L
 ,231,Empleado Tienda por Departamentos,Department Store Employee,L
 ,232,Encargada Comedor Escolar,School Dining Room Supervisor,L
 ,233,Enfermera (o),Nurse,L
 ,234,Entrenador de Animales,Animal Trainer,L
 ,235,Entrenador de Personal,Workers Trainer,L
 ,236,Entrenador Personal,Personal Trainer,M
 ,237,Escritor,Writer,L
 ,238,Escuela,School,M
 ,239,Escultor,Scultor,M
 ,240,Especialista Protección del Ambiente,Enviromental Protection Specialist,L
 ,241,Especialista en Telecomunicaciones,Telecomunication Specialist,L
 ,242,Estación de Gasolina,Gas Station,H
 ,243,Estilista,Stylist,L
 ,244,Estudiante,Student,L
 ,245,Examinador de Impuestos,Tax Examinator,L
 ,246,Examinador de Reclamaciones,Claims Examinator,L
 ,247,Examinador Instituciones Financieras,Financial Institution Examiner,L
 ,248,Excavador,Digger,M
 ,249,Fabricador de Metales,Metal Fabricator,L
 ,250,Farmaceutico,Pharmaceutical,M
 ,251,Farmacia,Pharmacy,H
 ,252,Ferreteria,Hardware,H
 ,253,Fiscal,Fiscal,L
 ,254,Físico,Physicist,L
 ,255,Florista,Florist,L
 ,256,Fotografo,Photographer,M
 ,257,Fuerzas Armadas,Army Forces,L
 ,258,Fumigador,Fumigator,L
 ,259,Ganadero,Cattle Raiser,M
 ,260,Geologo,Geologist,L
 ,261,Gerente,Manager,M
 ,262,Gerente Administración Pública,Public Administration Manager,L
 ,263,Gerente de Finanzas,Finance Manager,M
 ,264,Gerente de Imprenta,Printing Manager,M
 ,265,Gerente de Inventario,Inventory Manager,M
 ,266,Gerente de Manufactura,Manufacturing Manager,M
 ,267,Gerente de Recursos Humanos,Human Resources Manager,M
 ,268,Gerente de Seguros,Insurance Manager,M
 ,269,Gerente de Ventas,Sales Manager,M
 ,270,Gerente Financiero,Financial Management,L
 ,271,Gerente Sistemas de Información,EDP Manager,M
 ,272,Gerente Sucursal Cooperativa,Credit Union Branch Manager,M
 ,273,Gestión (Mensajero),Messenger,L
 ,274,Guarda Bosques,Park Ranger,L
 ,275,Guardia de Seguridad,Security Guard,L
 ,276,Guardia Privado,Private Guard,L
 ,277,Guardia Escolar,School Guard,L
 ,278,Guardia Municipal,Municipal Guard,L
 ,279,Guardia Nacional,National Guard,L
 ,280,Guia Turistico,Tour Guide,M
 ,281,Hidrologo,Hydrologist,M
 ,282,Hojalatero,Tinsmith,M
 ,283,Iglesia Católica,Catholic Church,M
 ,284,Iglesia Luterana,Luteran Church,M
 ,285,Iglesia Protestante,Protestant Church,M
 ,286,Incapacitado,Handycap,L
 ,287,Ingeniero,Enginner,M
 ,288,Ingeniero Aeroespacial,Aerospace Enginner,M
 ,289,Ingeniero Aeronautico,Aeronautical Engineer,L
 ,290,Ingeniero Agricultor,Engunner Agronomist,L
 ,291,Ingeniero Ambiental,Envoromental Engineer,L
 ,292,Ingeniero Biomedico,Biomedical Engineer,M
 ,293,Ingeniero Civil,Civil Engineer,L
 ,294,Ingeniero Petroleo,Petroleum Engineer,M
 ,295,Ingeniero de Ambiente,Envorimental Engineer,L
 ,296,Ingeniero Eléctrico,Electric Engineer,M
 ,297,IngenieroElectrónico,Electronic Engineer,M
 ,298,Ingeniero de Computadoras,Computer Engineer,L
 ,299,Ingeniero Industrial,Industrial Enginner,L
 ,300,Ingeniero Marino,Marine Engineer,L
 ,301,Ingeniero Mecánico,Mechanic Engineer,L
 ,302,Ingeniero Nuclear,Nuclear Engineer,L
 ,303,Ingeniero Químico,Chemical Engineer,L
 ,304,Inspector Ambiental,Enviromental Inspector,L
 ,305,Inspector de Drogas y Alcohol,Drugs and Alcohol Inspector,L
 ,306,Inspector de Inmigración,Inmigration Inspector,M
 ,307,Inspector de Salud Pública,Public Health Inspector,L
 ,308,Inspector de Servicio Público,Service Public Inspector,L
 ,309,Inspector de Fábrica,Manufacture Inspector,L
 ,310,Inst. Sin Fines de Lucro,Nonprofit Institution,M
 ,311,Instalador Accesorios de Auto,Car Accessories Installer,L
 ,312,Instalador Aires Acondicionados,Air Conditioning Installer,M
 ,313,Instalador de Escrines,Sreen Installer,L
 ,314,Instalador Gibson Board,Gibson Board Installer,L
 ,315,Instalador Puertas y Ventanas,Windows & Doors Installer,L
 ,316,Institución Financiera,Financial Institution,H
 ,317,Instructor de Caballos,Horses Trainer,L
 ,318,Instructor de Gimnasio,Gym Instructor,L
 ,319,Instrumentista,Instrumentalist,L
 ,320,Interprete,Translator,L
 ,321,Investigador Criminal,Criminal Investigator,M
 ,322,Insvestigador de Seguridad Aerea,Air Security Investigator,M
 ,323,Investigador General,General Investigator,L
 ,324,Investigador Privado,Private Investigator,M
 ,325,Jardinero,Gardener,M
 ,326,Jefe de Correo,Postmaster,M
 ,327,Joyero,Jeweller,H
 ,328,Juez,Judge,L
 ,329,Jugador de Beisbol,Baseball Player,L
 ,330,Lavaplatos,Dish Washer,L
 ,331,Legislador,Legislator,M
 ,332,Locutor,Radio Announcer,L
 ,333,Maestro de Escuela,Teacher,L
 ,334,Manicurista,Manicurist,L
 ,335,Maquillista,Make Up,L
 ,336,Marino,Marine,L
 ,337,Matemático,Mathematical,L
 ,338,Mecánico de Autos,Auto Mechanic,M
 ,339,Mecánico de Aviones,Airplane Mechancic,M
 ,340,Mecánico de Elevadores,Elevator Mecanic,M
 ,341,Mecánico de Equipo Industrial,Industrial Equipment Mechanic,M
 ,342,Mecánico de Trenes,Train Mechanic,M
 ,343,Mecánico Industrial,Industrail Mechanic,M
 ,344,Medico,Doctor,M
 ,345,Menor de Edad,Minor,L
 ,346,Mensajero,Messenger,L
 ,347,Meteorólogo,Meteorologist,L
 ,348,Microbiologo,Microbiologist,M
 ,349,Militar,Military,L
 ,350,Ministro de Iglesia,Minister,M
 ,351,Modelo,Model,M
 ,352,Modista,Dressmaker,L
 ,353,Mozo,Waiter,M
 ,354,Músico,Musician,M
 ,355,Nutricionista,Nutricionist,M
 ,356,Obrero de Carga,Worker of Freight,L
 ,357,Obrero de Contrucción,Construction Worker,L
 ,358,Oficial Administrativo,Official Administrative,L
 ,359,Oficial de Correción,Correctional Officer,M
 ,360,Oficial de Crédito,Credit Officer,L
 ,361,Oficial de Cobros,Collector Officer,L
 ,362,Oficial de Cumplimiento,Compliance Officer,M
 ,363,Oficial de Custodia,Official of Custody,L
 ,364,Oficial de Nóminas,Payroll Officer,L
 ,365,Oficial de Probatoria,Parolle Officer,L
 ,366,Oficial de Rentas Internas,Internal Revenue Officer,M
 ,367,Oficial de Tráfico,Traffic Officer,L
 ,368,Oficial Recaudador,Collector,L
 ,369,Oficinista,Office Clerk,L
 ,370,Operador Camiones Blindados,Armored Truck Operator,M
 ,371,Operador de Ascensores,Elevator Operator,L
 ,372,Operador de Computadoras,Computer Operator,L
 ,373,Operador de Datos,Data Entry Operator,L
 ,374,Operador de Equipo de TV,Television Equipment Operator,L
 ,375,Operador Equipo Eléctrico,User Equipment Electric,L
 ,376,Operador Equipo Industrial,User Equipment Industrial,L
 ,377,Operador Equipo Pesado,User Equipment Heavy,L
 ,378,Operador de Fábricas,Operator,L
 ,379,Operador de Manufactura,Manufacturer Operator,L
 ,380,Operador de Maquinaria,Machine Operator,L
 ,381,Operador de Radio,Radio Operator,M
 ,382,Operador de Taximetro,Taximeter Operator,L
 ,383,Operador de Teléfonos,Telephone Operator,L
 ,384,Operador de Telégrafo,Telegraph Operator,L
